Date,Close,High,Low,Open,Volume,Daily_Return_Pct,Daily_Range,MA_20,MA_50,MA_200,Volatility_20D,Volume_MA_20,Year,Month,Quarter,Day_of_Week,RSI_14,MACD,MACD_Signal,BB_Upper,BB_Lower,BB_Middle
1986-03-13,0.0593,0.0619,0.054,0.054,1031788800,,0.0079,,,,,,1986,3,1,Thursday,,0.0,0.0,,,
1986-03-14,0.0614,0.0624,0.0593,0.0593,308160000,3.5413,0.0031,,,,,,1986,3,1,Friday,,0.0002,0.0,,,
1986-03-17,0.0624,0.063,0.0614,0.0614,133171200,1.6287,0.0016,,,,,,1986,3,1,Monday,,0.0004,0.0001,,,
1986-03-18,0.0608,0.063,0.0603,0.0624,67766400,-2.5641,0.0027,,,,,,1986,3,1,Tuesday,,0.0004,0.0002,,,
1986-03-19,0.0598,0.0614,0.0593,0.0608,47894400,-1.6447,0.0021,,,,,,1986,3,1,Wednesday,,0.0003,0.0002,,,
1986-03-20,0.0582,0.0598,0.0577,0.0598,58435200,-2.6756,0.0021,,,,,,1986,3,1,Thursday,,0.0002,0.0002,,,
1986-03-21,0.0566,0.0593,0.0556,0.0582,59990400,-2.7491,0.0037,,,,,,1986,3,1,Friday,,-0.0001,0.0001,,,
1986-03-24,0.055,0.0566,0.0545,0.0566,65289600,-2.8269,0.0021,,,,,,1986,3,1,Monday,,-0.0004,0.0,,,
1986-03-25,0.0561,0.0561,0.0545,0.055,32083200,2.0,0.0016,,,,,,1986,3,1,Tuesday,,-0.0006,-0.0001,,,
1986-03-26,0.0577,0.0582,0.0556,0.0561,22752000,2.852,0.0026,,,,,,1986,3,1,Wednesday,,-0.0006,-0.0002,,,
1986-03-27,0.0587,0.0587,0.0577,0.0577,16848000,1.7331,0.001,,,,,,1986,3,1,Thursday,,-0.0005,-0.0003,,,
1986-03-31,0.0582,0.0587,0.0571,0.0587,12873600,-0.8518,0.0016,,,,,,1986,3,1,Monday,,-0.0005,-0.0003,,,
1986-04-01,0.0577,0.0582,0.0577,0.0582,11088000,-0.8591,0.0005,,,,,,1986,4,2,Tuesday,,-0.0005,-0.0003,,,
1986-04-02,0.0582,0.0593,0.0577,0.0577,27014400,0.8666,0.0016,,,,,,1986,4,2,Wednesday,,-0.0005,-0.0004,,,
1986-04-03,0.0587,0.0603,0.0587,0.0587,23040000,0.8591,0.0016,,,,,,1986,4,2,Thursday,48.15,-0.0004,-0.0004,,,
1986-04-04,0.0587,0.0593,0.0587,0.0587,26582400,0.0,0.0006,,,,,,1986,4,2,Friday,40.43,-0.0003,-0.0004,,,
1986-04-07,0.0577,0.0593,0.0566,0.0587,16560000,-1.7036,0.0027,,,,,,1986,4,2,Monday,33.33,-0.0003,-0.0004,,,
1986-04-08,0.0582,0.0593,0.0577,0.0577,10252800,0.8666,0.0016,,,,,,1986,4,2,Tuesday,40.0,-0.0003,-0.0003,,,
1986-04-09,0.0593,0.0598,0.0582,0.0582,12153600,1.89,0.0016,,,,,,1986,4,2,Wednesday,48.09,-0.0002,-0.0003,,,
1986-04-10,0.0598,0.0603,0.0582,0.0593,13881600,0.8432,0.0021,0.0586,,,,99881280.0,1986,4,2,Thursday,56.67,-0.0001,-0.0003,0.0621,0.0552,0.0586
1986-04-11,0.0608,0.0619,0.0603,0.0603,17222400,1.6722,0.0016,0.0587,,,1.9946,49152960.0,1986,4,2,Friday,68.42,0.0001,-0.0002,0.0623,0.0551,0.0587
1986-04-14,0.0614,0.0619,0.0608,0.0608,12153600,0.9868,0.0011,0.0587,,,1.8415,34352640.0,1986,4,2,Monday,80.77,0.0003,-0.0001,0.0623,0.0551,0.0587
1986-04-15,0.0614,0.0614,0.0593,0.0614,9302400,0.0,0.0021,0.0586,,,1.802,28159200.0,1986,4,2,Tuesday,78.49,0.0004,0.0,0.0621,0.0552,0.0586
1986-04-16,0.0635,0.064,0.0608,0.0614,31910400,3.4202,0.0032,0.0588,,,1.8611,26366400.0,1986,4,2,Wednesday,79.59,0.0007,0.0001,0.0627,0.0549,0.0588
1986-04-17,0.064,0.064,0.0635,0.0635,22003200,0.7874,0.0005,0.059,,,1.8107,25071840.0,1986,4,2,Thursday,78.49,0.001,0.0003,0.0636,0.0544,0.059
1986-04-18,0.0619,0.064,0.0614,0.064,21628800,-3.2813,0.0026,0.0592,,,1.8682,23231520.0,1986,4,2,Friday,66.97,0.001,0.0005,0.0639,0.0545,0.0592
1986-04-21,0.0619,0.0624,0.0603,0.0619,22924800,0.0,0.0021,0.0594,,,1.7258,21378240.0,1986,4,2,Monday,70.19,0.001,0.0006,0.0642,0.0547,0.0594
1986-04-22,0.0608,0.0619,0.0608,0.0619,15552000,-1.7771,0.0011,0.0597,,,1.634,18891360.0,1986,4,2,Tuesday,61.82,0.0009,0.0006,0.064,0.0555,0.0597
1986-04-23,0.0611,0.0614,0.0603,0.0608,15609600,0.4934,0.0011,0.06,,,1.5963,18067680.0,1986,4,2,Wednesday,61.11,0.0008,0.0007,0.0639,0.0561,0.06
1986-04-24,0.0672,0.0682,0.0608,0.0611,62352000,9.9836,0.0074,0.0605,,,2.6271,20047680.0,1986,4,2,Thursday,75.15,0.0012,0.0008,0.0654,0.0555,0.0605
1986-04-25,0.0714,0.0743,0.0677,0.0677,85795200,6.25,0.0066,0.0611,,,2.8926,23495040.0,1986,4,2,Friday,84.08,0.0019,0.001,0.068,0.0542,0.0611
1986-04-28,0.072,0.0725,0.0709,0.0714,28886400,0.8403,0.0016,0.0618,,,2.8595,24295680.0,1986,4,2,Monday,84.16,0.0024,0.0013,0.0701,0.0535,0.0618
1986-04-29,0.0698,0.072,0.0693,0.072,30326400,-3.0556,0.0027,0.0624,,,2.9787,25257600.0,1986,4,2,Tuesday,74.65,0.0027,0.0016,0.0712,0.0536,0.0624
1986-04-30,0.0682,0.0704,0.0667,0.0698,30902400,-2.2923,0.0037,0.0629,,,3.0683,25452000.0,1986,4,2,Wednesday,68.75,0.0027,0.0018,0.0718,0.054,0.0629
1986-05-01,0.0672,0.0682,0.0661,0.0682,54345600,-1.4663,0.0021,0.0633,,,3.1113,27017280.0,1986,5,2,Thursday,64.29,0.0026,0.002,0.0722,0.0544,0.0633
1986-05-02,0.0672,0.0682,0.0667,0.0672,20246400,0.0,0.0015,0.0637,,,3.1113,26700480.0,1986,5,2,Friday,63.3,0.0025,0.0021,0.0725,0.055,0.0637
1986-05-05,0.0667,0.0672,0.0667,0.0672,3254400,-0.744,0.0005,0.0642,,,3.0791,26035200.0,1986,5,2,Monday,61.88,0.0023,0.0021,0.0726,0.0558,0.0642
1986-05-06,0.0672,0.0682,0.0672,0.0672,9734400,0.7496,0.001,0.0646,,,3.0791,26009280.0,1986,5,2,Tuesday,58.94,0.0022,0.0021,0.0726,0.0567,0.0646
1986-05-07,0.0672,0.0677,0.0661,0.0672,5155200,0.0,0.0016,0.065,,,3.0717,25659360.0,1986,5,2,Wednesday,57.92,0.0021,0.0021,0.0727,0.0574,0.065
1986-05-08,0.0677,0.0677,0.0667,0.0672,3542400,0.744,0.001,0.0654,,,3.0715,25142400.0,1986,5,2,Thursday,65.59,0.002,0.0021,0.0727,0.0581,0.0654
1986-05-09,0.0672,0.0677,0.0672,0.0677,6076800,-0.7386,0.0005,0.0658,,,3.0772,24585120.0,1986,5,2,Friday,63.87,0.0019,0.0021,0.0727,0.0588,0.0658
1986-05-12,0.0677,0.0693,0.0672,0.0672,10483200,0.744,0.0021,0.0661,,,3.0759,24501600.0,1986,5,2,Monday,68.65,0.0018,0.002,0.0728,0.0593,0.0661
1986-05-13,0.0682,0.0688,0.0677,0.0677,3830400,0.7386,0.0011,0.0664,,,3.0736,24228000.0,1986,5,2,Tuesday,68.98,0.0018,0.002,0.0728,0.06,0.0664
1986-05-14,0.0677,0.0682,0.0677,0.0682,9302400,-0.7331,0.0005,0.0666,,,3.0105,23097600.0,1986,5,2,Wednesday,51.91,0.0017,0.0019,0.0729,0.0603,0.0666
